inx 	 gt 	 dt
15	11	15
17	15	11
22	27	41
26	28	29
28	29	28
41	40	26
45	48	49
55	59	53
56	63	62
62	73	74
63	74	73
69	89	90
78	103	104
84	109	110
93	119	120
101	132	1509
106	138	139
116	150	151
118	151	150
138	178	179
150	192	191
161	214	503
162	222	221
163	222	1625
166	229	230
177	242	243
178	242	243
179	244	246
180	244	2199
181	244	170
182	244	246
218	281	284
223	284	285
225	286	287
241	304	306
246	308	307
260	325	324
270	335	336
275	347	346
283	360	361
292	382	380
294	387	385
303	398	397
304	399	400
311	405	404
364	465	464
366	472	468
368	473	474
372	479	491
373	479	491
374	481	482
377	484	483
420	536	537
447	601	592
533	733	732
548	737	739
573	750	747
581	754	2616
643	793	484
657	805	807
658	809	808
664	817	818
673	833	832
686	849	850
695	864	865
696	865	864
712	880	881
732	911	908
778	963	981
792	983	982
802	998	1006
803	998	1000
848	1047	1054
851	1050	1059
878	1096	1101
879	1099	1100
880	1101	1096
888	1106	1107
892	1109	1110
923	1154	1155
925	1154	1155
926	1154	1155
954	1166	1165
955	1166	1165
956	1166	1165
957	1166	1165
958	1166	1165
975	1181	1214
976	1184	388
981	1195	1196
985	1205	1206
988	1214	1182
994	1227	1228
997	1232	1231
998	1233	1228
1011	1264	1265
1017	1285	1284
1020	1288	1287
1035	1319	1320
1036	1320	1319
1073	1355	1356
1105	1410	1411
1106	1411	1410
1109	1412	1548
1110	1412	1410
1111	1412	1548
1112	1412	1548
1119	1423	1481
1129	1439	1447
1145	1466	1467
1153	1476	1477
1166	1511	1513
1186	1538	1138
1187	1538	1138
1191	1548	1412
1194	1548	1412
1203	1557	1556
1208	1569	1568
1209	1571	1526
1233	1605	1604
1235	1605	1603
1278	1642	1897
1287	1651	815
1295	1662	1661
1307	1684	1685
1342	1748	1749
1345	1755	1758
1418	1838	1822
1447	1853	1642
1448	1853	1642
1454	1861	1860
1549	1999	1995
1567	2025	2026
1570	2030	2032
1582	2049	2050
1606	2076	2081
1607	2079	2152
1646	2143	2144
1648	2150	2151
1649	2151	2149
1653	2158	2157
1678	2186	1865
1743	2277	2276
1762	2300	2270
1816	2364	2365
1821	2368	2370
1824	2376	2378
1832	2384	2241
1833	2386	96
1889	2472	2471
1904	2495	2500
1923	2516	2512
1937	2536	2535
1940	2541	2540
1943	2546	2544
1953	2557	2558
1963	2570	2396
