inx 	 gt 	 dt
1	2	1079
2	2	1081
3	28	2172
4	35	1079
5	54	1079
6	62	2172
7	68	2172
8	68	1100
9	71	1079
10	72	1079
11	76	1079
12	81	1079
13	81	1100
14	81	1079
15	81	85
16	81	1081
17	81	1081
18	81	473
19	83	1079
20	89	1081
21	2212	1756
22	2212	360
23	2212	1081
24	2212	1081
25	2212	1081
26	2215	1079
27	2215	1081
28	2215	1548
29	2215	1081
30	2215	1081
31	2215	1079
32	2215	1081
33	2215	1079
34	2233	1079
35	2233	1079
36	2233	1079
37	2233	1081
38	2233	1079
39	2233	1079
40	2233	1079
41	102	1488
42	102	2172
43	102	2172
44	102	1079
45	102	1079
46	102	2027
47	102	2172
48	102	1079
49	113	335
50	115	1081
51	115	1081
52	115	335
53	115	473
54	115	1079
55	118	1079
56	124	1081
57	132	1081
58	132	1081
59	132	1081
60	135	2172
61	138	1079
62	138	473
63	138	1079
64	138	1756
65	141	1079
66	143	1079
67	148	2172
68	148	1756
69	148	1081
70	148	1079
71	150	2172
72	156	1079
73	158	1081
74	158	1081
75	172	2027
76	189	1079
77	181	473
78	182	473
79	182	1081
80	187	1079
81	2251	1081
82	2258	1079
83	2262	1079
84	2262	1081
85	2262	1081
86	2262	1079
87	192	473
88	192	1079
89	192	1079
90	193	1081
91	193	2027
92	193	1081
93	194	2172
94	194	1081
95	194	473
96	194	1079
97	198	1081
98	198	1081
99	198	473
100	198	1081
101	198	473
102	198	473
103	198	1079
104	198	1759
105	198	473
106	2278	1756
107	2278	1756
108	2278	1756
109	2278	1081
110	2278	1756
111	2278	1081
112	2278	1081
113	2278	1081
114	2278	1081
115	2278	1081
116	2278	1081
117	2278	1079
118	2278	1081
119	2278	1081
120	2278	1081
121	2278	1756
122	2278	1081
123	2278	1081
124	2278	1081
125	2278	1081
126	2278	1081
127	2278	1081
128	2278	1079
129	2278	1081
130	2272	1079
131	2272	1079
132	2272	1081
133	2272	1079
134	2272	2142
135	2272	1079
136	2272	1079
137	2272	1081
138	2272	1079
139	2272	1081
140	2272	1081
141	2275	1081
142	2275	2172
143	2275	1081
144	2275	1081
145	2275	1081
146	2275	1081
147	2275	1081
148	2275	1081
149	2275	1081
150	2275	1081
151	2275	1081
152	217	1081
153	221	1079
154	221	1079
155	222	1488
156	229	1079
157	229	1081
158	229	85
159	235	1079
160	235	1549
161	235	1079
162	235	335
163	235	1100
164	235	1081
165	235	1756
166	235	1079
167	235	1079
168	235	1081
169	235	1100
170	236	2027
171	239	1079
172	239	1081
173	240	1081
174	244	1081
175	244	335
176	244	1079
177	244	1079
178	244	1079
179	244	1079
180	244	1079
181	244	1081
182	249	1079
183	252	1081
184	259	1081
185	262	1081
186	262	1079
187	262	1079
188	266	1079
189	273	1079
190	273	473
191	279	1081
192	279	473
193	284	1081
194	284	1081
195	284	1081
196	286	473
197	286	1081
198	288	1081
199	288	1079
200	288	1081
201	291	1081
202	291	1081
203	293	1079
204	2321	1756
205	2321	1081
206	2321	1079
207	2321	85
208	2321	1756
209	2321	1079
210	2321	1081
211	299	1081
212	299	2172
213	299	1079
214	299	85
215	299	1081
216	299	1079
217	299	1079
218	299	1081
219	299	1079
220	299	1756
221	307	1081
222	307	1081
223	307	1079
224	312	1081
225	312	1079
226	312	1079
227	312	1079
228	312	1079
229	312	1079
230	312	85
231	312	2172
232	312	1081
233	312	1081
234	312	1079
235	312	1079
236	312	1079
237	312	1079
238	312	1079
239	312	1079
240	312	1079
241	312	1079
242	312	1079
243	312	1079
244	312	1079
245	312	1081
246	312	1079
247	312	1079
248	318	335
249	318	1079
250	318	1079
251	318	1079
252	318	1756
253	318	1079
254	326	1081
255	326	1081
256	326	1081
257	326	1549
258	326	1549
259	326	1079
260	326	473
261	326	1081
262	326	1488
263	326	1081
264	326	1081
265	331	1079
266	333	1079
267	335	473
268	335	1081
269	335	1079
270	335	1079
271	335	1079
272	335	1081
273	335	1079
274	335	1079
275	340	1079
276	340	1100
277	340	335
278	340	1756
279	340	1081
280	340	1081
281	340	473
282	340	473
283	340	473
284	340	1081
285	340	1100
286	340	2172
287	340	1079
288	340	1079
289	340	1079
290	340	1079
291	340	1079
292	340	1079
293	340	1079
294	340	1079
295	340	1079
296	340	1079
297	343	335
298	346	1756
299	346	85
300	346	1100
301	346	2172
302	346	1079
303	346	1079
304	346	1079
305	346	1756
306	346	2172
307	346	1079
308	346	1079
309	346	85
310	346	1081
311	346	1079
312	346	1079
313	346	85
314	346	1081
315	346	1079
316	346	1079
317	359	1332
318	364	1081
319	364	1079
320	380	1079
321	383	1079
322	383	1081
323	383	1081
324	383	1081
325	383	1079
326	383	85
327	383	1081
328	383	1081
329	383	1081
330	383	1081
331	383	1081
332	383	335
333	383	473
334	383	1079
335	383	1081
336	383	1079
337	383	2172
338	383	2172
339	383	1079
340	383	1081
341	383	1081
342	383	1756
343	383	473
344	383	2172
345	383	1079
346	383	1081
347	383	1081
348	383	1081
349	383	1081
350	383	1081
351	383	2172
352	383	1081
353	383	1756
354	383	1079
355	383	1079
356	383	1081
357	383	1081
358	383	1081
359	383	1081
360	383	1081
361	383	1079
362	383	1081
363	383	85
364	383	1756
365	392	1081
366	392	1081
367	392	1079
368	392	1081
369	392	1081
370	392	1079
371	392	1081
372	392	2172
373	392	1079
374	392	1079
375	392	1079
376	392	1079
377	392	85
378	392	1081
379	392	1079
380	392	2172
381	392	1081
382	392	1756
383	392	473
384	392	1332
385	392	1079
386	399	1079
387	399	1079
388	399	1079
389	399	2027
390	2357	1756
391	2358	1081
392	2358	1100
393	406	473
394	410	2172
395	410	2027
396	410	1081
397	410	2027
398	410	2172
399	410	1079
400	410	1079
401	410	2027
402	410	1079
403	414	1488
404	414	1488
405	414	473
406	414	1756
407	414	1079
408	414	335
409	414	473
410	414	1079
411	414	2027
412	414	2027
413	414	1079
414	414	1079
415	414	1079
416	414	1079
417	414	335
418	414	1079
419	414	335
420	414	335
421	414	335
422	414	2172
423	414	335
424	414	335
425	414	335
426	414	335
427	414	2027
428	414	2172
429	414	335
430	414	335
431	414	335
432	414	335
433	414	1079
434	414	1079
435	414	1079
436	414	2172
437	414	335
438	414	1079
439	414	2172
440	414	1081
441	414	1079
442	414	335
443	414	335
444	414	1079
445	414	473
446	414	1081
447	414	473
448	414	2027
449	414	1079
450	414	1079
451	414	1081
452	414	2172
453	414	2142
454	414	1081
455	414	473
456	414	1079
457	414	1079
458	414	473
459	414	1081
460	414	473
461	414	335
462	414	473
463	414	473
464	414	1756
465	414	473
466	414	1079
467	414	335
468	414	1079
469	414	473
470	414	473
471	414	473
472	414	2027
473	414	1488
474	414	1756
475	414	473
476	414	473
477	414	473
478	414	473
479	414	335
480	414	473
481	414	1079
482	414	473
483	414	473
484	414	473
485	414	473
486	414	473
487	414	473
488	414	1079
489	414	1079
490	414	473
491	414	1488
492	414	1079
493	414	473
494	414	1488
495	414	1081
496	414	1081
497	414	473
498	414	2172
499	414	473
500	414	473
501	414	1081
502	414	473
503	414	473
504	414	1079
505	414	1081
506	414	473
507	414	1079
508	414	1081
509	414	2172
